observableId	preequilibrationConditionId	simulationConditionId	simulation	time	observableParameters	noiseParameters	observableTransformation	observablesetId
observable_EGFRPtotal		C1	0	0			lin	C1_observable_EGFRPtotal
observable_EGFRPtotal		C1	3.99	15			lin	C1_observable_EGFRPtotal
observable_EGFRPtotal		C1	4.59	30			lin	C1_observable_EGFRPtotal
observable_EGFRPtotal		C1	4.71	45			lin	C1_observable_EGFRPtotal
observable_EGFRPtotal		C1	4.69	60			lin	C1_observable_EGFRPtotal
observable_EGFRPtotal		C1	4.42	120			lin	C1_observable_EGFRPtotal
observable_EGFRPtotal		C2	0	0			lin	C2_observable_EGFRPtotal
observable_EGFRPtotal		C2	55.8	15			lin	C2_observable_EGFRPtotal
observable_EGFRPtotal		C2	36.8	30			lin	C2_observable_EGFRPtotal
observable_EGFRPtotal		C2	24.1	45			lin	C2_observable_EGFRPtotal
observable_EGFRPtotal		C2	18.9	60			lin	C2_observable_EGFRPtotal
observable_EGFRPtotal		C2	16.1	120			lin	C2_observable_EGFRPtotal
observable_EGFRPtotal		C3	0	0			lin	C3_observable_EGFRPtotal
observable_EGFRPtotal		C3	71	15			lin	C3_observable_EGFRPtotal
observable_EGFRPtotal		C3	47.8	30			lin	C3_observable_EGFRPtotal
observable_EGFRPtotal		C3	39.4	45			lin	C3_observable_EGFRPtotal
observable_EGFRPtotal		C3	36.4	60			lin	C3_observable_EGFRPtotal
observable_EGFRPtotal		C3	34.5	120			lin	C3_observable_EGFRPtotal
observable_PLCgPtotal		C2	0	0			lin	C2_observable_PLCgPtotal
observable_PLCgPtotal		C2	11.5	15			lin	C2_observable_PLCgPtotal
observable_PLCgPtotal		C2	8.3	30			lin	C2_observable_PLCgPtotal
observable_PLCgPtotal		C2	4.8	45			lin	C2_observable_PLCgPtotal
observable_PLCgPtotal		C2	3.15	60			lin	C2_observable_PLCgPtotal
observable_PLCgPtotal		C2	2.19	120			lin	C2_observable_PLCgPtotal
observable_PLCgPtotal		C3	0	0			lin	C3_observable_PLCgPtotal
observable_PLCgPtotal		C3	19	15			lin	C3_observable_PLCgPtotal
observable_PLCgPtotal		C3	9.69	30			lin	C3_observable_PLCgPtotal
observable_PLCgPtotal		C3	6.28	45			lin	C3_observable_PLCgPtotal
observable_PLCgPtotal		C3	4.8	60			lin	C3_observable_PLCgPtotal
observable_PLCgPtotal		C3	3.96	120			lin	C3_observable_PLCgPtotal
observable_ShPtotal		C3	0	0			lin	C3_observable_ShPtotal
observable_ShPtotal		C3	43.9	15			lin	C3_observable_ShPtotal
observable_ShPtotal		C3	55.6	30			lin	C3_observable_ShPtotal
observable_ShPtotal		C3	57.4	45			lin	C3_observable_ShPtotal
observable_ShPtotal		C3	57.3	60			lin	C3_observable_ShPtotal
observable_ShPtotal		C3	55.9	120			lin	C3_observable_ShPtotal
observable_Grb2Shctotal		C3	0	0			lin	C3_observable_Grb2Shctotal
observable_Grb2Shctotal		C3	42.9	15			lin	C3_observable_Grb2Shctotal
observable_Grb2Shctotal		C3	49.9	30			lin	C3_observable_Grb2Shctotal
observable_Grb2Shctotal		C3	48.3	45			lin	C3_observable_Grb2Shctotal
observable_Grb2Shctotal		C3	46.9	60			lin	C3_observable_Grb2Shctotal
observable_Grb2Shctotal		C3	4.51	120			lin	C3_observable_Grb2Shctotal
observable_Grb2EGFRtotal		C3	0	0			lin	C3_observable_Grb2EGFRtotal
observable_Grb2EGFRtotal		C3	26.7	15			lin	C3_observable_Grb2EGFRtotal
observable_Grb2EGFRtotal		C3	18	30			lin	C3_observable_Grb2EGFRtotal
observable_Grb2EGFRtotal		C3	10.9	45			lin	C3_observable_Grb2EGFRtotal
observable_Grb2EGFRtotal		C3	7.78	60			lin	C3_observable_Grb2EGFRtotal
observable_Grb2EGFRtotal		C3	5.96	120			lin	C3_observable_Grb2EGFRtotal
